smiles,pKi
CC(=O)Nc1ccc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)oc3c2)cc1,6.632644078973981
CC(=O)Nc1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1,9.350028549988616
CC(=O)Nc1cccc(-c2nnc(N3CCC(N4CCCCC4)CC3)s2)c1,7.782516055786093
CC(=O)Nc1ccccc1-c1cnc2nc(N3CCC(N4CCCCC4)CC3)oc2c1,5.816445466381138
CC(=O)Nc1cnc2nc(N3CCC(N4CCCCC4)CC3)oc2c1,6.18243463044022
CC(=O)Nc1cnc2nc(N3CCC(N4CCCCC4)CC3)sc2c1,7.508638306165727
CC(=O)OCC(C)(C)NC(=O)N(CCC1CCN(Cc2ccc(C)cc2)CC1)Cc1ccc(-c2ccc(F)cc2)cc1,5.681936665037238
CC(=O)OCC(C)(C)NC(=O)N(CCC1CCN(Cc2ccc(C)cc2)CC1)Cc1ccc(-c2cccc(C#N)c2)cc1,5.787812395596042
CC(=O)OCC(C)(C)NC(=O)N(CCC1CCN(Cc2ccc(C)cc2)CC1)Cc1ccc(-c2ccccc2)cc1,5.94692155651658
CC(=O)c1c(C)cc(OCCCc2c[nH]cn2)cc1C,7.045757490560675
CC(=O)c1ccc(-c2ccc(N3CCC4CN(C)CC43)cc2)cc1,8.07473876108791
CC(=O)c1ccc(-c2nnc(N3CCC(N4CCCCC4)CC3)s2)cc1,7.187086643357144
CC(=O)c1ccc(COCCCc2c[nH]cn2)cc1,7.060480747381382
CC(=O)c1ccc(N2CCC(OC(=O)N3CCN(C(C)C)CC3)CC2)nc1,7.784318117920506
CC(=O)c1ccc(N2CCC(OC(=O)N3CCN(C4CCC4)CC3)CC2)nc1,8.169093657231368
CC(=O)c1ccc(OCCCCN2CCN(C3CCCO3)CC2)cc1,5.0
CC(=O)c1ccc(OCCCCN2CCN(c3ccccn3)CC2)cc1,5.432150549426893
CC(=O)c1ccc(OCCCCN2CCN(c3cccnc3)CC2)cc1,6.041914151478915
CC(=O)c1ccc(OCCCCN2CCN(c3ccncc3)CC2)cc1,6.939302159646388
CC(=O)c1ccc(OCCCCN2CCN(c3cnccn3)CC2)cc1,5.786747947803603
CC(=O)c1ccc(OCCCCN2CCN(c3ncccn3)CC2)cc1,5.910094888560602
CC(=O)c1ccc(OCCCCc2c[nH]cn2)cc1,7.582471949139942
CC(=O)c1ccc(OCCCN2CCC(N)C2)cc1,5.967136216865402
CC(=O)c1ccc(OCCCN2CCC(NC(=O)C(C)NC(=O)OC(C)(C)C)C2)cc1,6.279068416771875
CC(=O)c1ccc(OCCCN2CCC(NC(=O)C(CO)NC(=O)OC(C)(C)C)C2)cc1,6.3700001024590565
CC(=O)c1ccc(OCCCN2CCC(NC(=O)C(N)CO)C2)cc1,6.821023052706831
CC(=O)c1ccc(OCCCN2CCC(NC(=O)c3ccc(C#N)cc3)C2)cc1,7.3979400086720375
CC(=O)c1ccc(OCCCN2CCC(NC(=O)c3cccnc3)C2)cc1,7.431798275933005
CC(=O)c1ccc(OCCCN2CCC(NC(=O)c3cnccn3)C2)cc1,6.694648630553376
CC(=O)c1ccc(OCCCN2CCC(NC(=O)c3csc(-c4cccnc4)n3)C2)cc1,7.259637310505756
CC(=O)c1ccc(OCCCN2CCC(NS(=O)(=O)c3ccc(C#N)cc3)C2)cc1,8.221848749616356
CC(=O)c1ccc(OCCCN2CCN(C3CCCO3)CC2)cc1,5.310779962736165
CC(=O)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1,6.501689446210399
CC(=O)c1ccc(OCCCN2CCN(c3cccnc3)CC2)cc1,6.30189945437661
CC(=O)c1ccc(OCCCN2CCN(c3ccncc3)CC2)cc1,7.991399828238082
CC(=O)c1ccc(OCCCN2CCN(c3cnccn3)CC2)cc1,5.610302451793615
CC(=O)c1ccc(OCCCN2CCN(c3ncccn3)CC2)cc1,5.635261444944602
CC(=O)c1ccc(OCCCc2c[nH]cn2)c(C)c1,8.318758762624412
CC(=O)c1ccc(OCCCc2c[nH]cn2)cc1,8.37838364258983
CC(=O)c1ccc(OCCCc2c[nH]cn2)cc1C,8.910396511922256
CC(=O)c1ccc(OCCCc2c[nH]cn2)cc1C(F)(F)F,7.784760906033978
CC(=O)c1ccc(OCCCc2c[nH]cn2)cc1F,8.929290792366956
CC(=O)c1ccc(OCCc2c[nH]cn2)cc1,7.819573457605739
CC(=O)c1ccc(OCc2ccc(CN3CCCC(C)C3)cc2)cc1,7.657577319177793
CC(=O)c1ccc(OCc2ccc(CN3CCCC3)cc2)cc1,7.585026652029182
CC(=O)c1ccc(OCc2ccc(CN3CCCCC3)cc2)cc1,7.075720713938118
CC(=O)c1ccc(OCc2ccc(CN3CCCCCC3)cc2)cc1,7.431798275933005
CC(=O)c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)cn1,9.599985320377932
CC(=O)c1ccc(SCCCc2c[nH]cn2)cc1,7.550637409205253
CC(=O)c1ccc(SCCc2c[nH]cn2)cc1,9.458607314841775
CC(=O)c1cccc(-c2cc3sc(N4CCC(N5CCCCC5)CC4)nc3cn2)c1,7.096910013008056
CC(=O)c1cccc(-c2ccc(N3CCC4CN(C)CC43)cc2)c1,7.815010413556418
CC(=O)c1cccc(-c2ccc3c(c2)CCC24CN(C)CC2CCC34)c1,6.992176093911813
CC(=O)c1cccc(-c2ccc3oc(CCN4CCCC4C)cc3c2)c1,9.738521553898815
CC(=O)c1cccc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)c1,7.481486060122112
CC(=O)c1cccc(-c2nnc(N3CCC(N4CCCCC4)CC3)s2)c1,8.397940008672037
CC(=O)c1cccc(OCCCc2c[nH]cn2)c1,7.698970004336019
CC(=O)c1ccccc1-c1nnc(N2CCC(N3CCCCC3)CC2)s1,8.075720713938118
CC(=O)c1nc(OCCCN2CCCCC2)sc1C,6.809668301829708
CC(=O)c1sc(SCCCN2CCCCC2)nc1C,6.0
CC(=O)n1c(C(=O)N2CCC(F)(F)CC2)cc2cc(OC3CCN(C(C)C)CC3)ccc21,8.093543321678572
CC(=O)n1c(Cc2ccccc2)c(O)nc(Cc2ccc(OCCCN3CCCCC3)cc2)c1=O,8.356547323513812
CC(=O)n1cc(O)nc(Cc2ccc(OCCCN3CCCCC3)cc2)c1=O,8.42021640338319
CC(C(=O)O)N(C(=O)OC(C)(C)C)C(=O)N1CC2CC1CN2CCCOc1ccc(C(=O)C2CC2)cc1,6.084192432360419
CC(C)(C)C#Cc1ccc(Cc2c[nH]cn2)cc1,6.270001452716578
CC(C)(C)C#Cc1ccc(OCCCc2c[nH]cn2)cc1,6.910094888560602
CC(C)(C)C#Cc1cccc(Cc2c[nH]cn2)c1,8.349984047528162
CC(C)(C)C(=O)N1CCN(c2ccc(OCCCN3CCCCC3)cc2)C(=O)C1,8.500038134403809
CC(C)(C)C(=O)OCCCc1c[nH]cn1,5.761201437286083
CC(C)(C)C(N)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,7.280006173632396
CC(C)(C)C(NC(=O)OCCCc1c[nH]cn1)C(C)(C)C,7.113509274827518
CC(C)(C)CC#CC1CC1c1c[nH]cn1,9.744727494896694
CC(C)(C)CC(=NO)c1ccc(OCCCc2c[nH]cn2)cc1,6.585026652029182
CC(C)(C)CC(=O)N1CC2CC1CN2CCCOc1ccc(C(=O)C2CC2)cc1,5.0
CC(C)(C)CC(=O)c1ccc(OCCCc2c[nH]cn2)cc1,7.568636235841012
CC(C)(C)CC(=O)c1cccc(Cc2c[nH]cn2)c1,7.489991487059765
CC(C)(C)CC(C)(C)NC(=O)OCCCc1c[nH]cn1,7.378359407237901
CC(C)(C)CC(N)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,7.92009553233328
CC(C)(C)CCC#CC1CC1c1c[nH]cn1,9.350614943312756
CC(C)(C)CCC#CCCc1c[nH]cn1,9.096910013008056
CC(C)(C)CCCCOCCCc1c[nH]cn1,7.853871964321762
CC(C)(C)CCCOCCCc1c[nH]cn1,8.267606240177031
CC(C)(C)CCN=c1cc(NC2CCNC2)[nH]cn1,4.975794637044865
CC(C)(C)CCOCCCN1CCCCC1,6.521815449409631
CC(C)(C)CCOCCCc1c[nH]cn1,7.989651828710444
CC(C)(C)CN=c1[nH]ccc(=NC2CCNC2)[nH]1,6.69000807121882
CC(C)(C)CN=c1[nH]ccc(=NC2CCNCC2)[nH]1,5.459999812689
CC(C)(C)CN=c1[nH]ccc(=NCCCN)[nH]1,5.250000251143582
CC(C)(C)CN=c1[nH]ccc(=NCCCc2c[nH]cn2)[nH]1,8.029978734171634
CC(C)(C)CN=c1[nH]ccc(=NCCN)[nH]1,6.160000609491408
CC(C)(C)CN=c1[nH]ccc(=NCCc2c[nH]cn2)[nH]1,8.019996628416253
CC(C)(C)CN=c1nc(N2CCC(N)C2)cc[nH]1,7.860120913598763
CC(C)(C)CN=c1nc(N2CCC(N=C(N)N)C2)cc[nH]1,5.949999401714239
CC(C)(C)CN=c1nc(N2CCCN(C(=N)N)CC2)cc[nH]1,5.0
CC(C)(C)CN=c1nc(N2CCCNCC2)cc[nH]1,6.270001452716578
CC(C)(C)CN=c1nc(N2CCN(C(=N)N)CC2)cc[nH]1,5.219999701663429
CC(C)(C)CN=c1nc(N2CCN(CCN)CC2)cc[nH]1,5.0
CC(C)(C)CN=c1nc(N2CCNCC2)cc[nH]1,5.0
